Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,-45001,
Trigger Level,0.000E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+01,
Vertical Position,8.000E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-04,
Horizontal Position,5.000E-03,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-07,
Horizontal Old Scale,1.000E-04,
Horizontal Old Position,5.000E-03,
Firmware,V1.24,
Mode,Detail,
Waveform Data,
4.556300e-03,9.60e+00,
4.556400e-03,9.60e+00,
4.556500e-03,9.60e+00,
4.556600e-03,9.60e+00,
4.556700e-03,9.60e+00,
4.556800e-03,9.60e+00,
4.556900e-03,9.60e+00,
4.557000e-03,9.60e+00,
4.557100e-03,9.60e+00,
4.557200e-03,9.60e+00,
4.557300e-03,9.60e+00,
4.557400e-03,9.60e+00,
4.557500e-03,9.60e+00,
4.557600e-03,9.60e+00,
4.557700e-03,9.60e+00,
4.557800e-03,9.60e+00,
4.557900e-03,9.60e+00,
4.558000e-03,9.60e+00,
4.558100e-03,9.60e+00,
4.558200e-03,9.60e+00,
4.558300e-03,9.60e+00,
4.558400e-03,9.60e+00,
4.558500e-03,9.60e+00,
4.558600e-03,9.60e+00,
4.558700e-03,9.60e+00,
4.558800e-03,9.60e+00,
4.558900e-03,9.60e+00,
4.559000e-03,9.60e+00,
4.559100e-03,9.60e+00,
4.559200e-03,9.60e+00,
4.559300e-03,9.60e+00,
4.559400e-03,9.60e+00,
4.559500e-03,9.60e+00,
4.559600e-03,9.60e+00,
4.559700e-03,9.60e+00,
4.559800e-03,9.60e+00,
4.559900e-03,9.60e+00,
4.560000e-03,9.60e+00,
4.560100e-03,9.60e+00,
4.560200e-03,9.60e+00,
4.560300e-03,9.60e+00,
4.560400e-03,9.60e+00,
4.560500e-03,9.60e+00,
4.560600e-03,9.60e+00,
4.560700e-03,9.60e+00,
4.560800e-03,9.60e+00,
4.560900e-03,9.60e+00,
4.561000e-03,9.60e+00,
4.561100e-03,9.60e+00,
4.561200e-03,9.60e+00,
4.561300e-03,9.60e+00,
4.561400e-03,9.60e+00,
4.561500e-03,9.60e+00,
4.561600e-03,9.60e+00,
4.561700e-03,9.60e+00,
4.561800e-03,9.60e+00,
4.561900e-03,9.60e+00,
4.562000e-03,9.60e+00,
4.562100e-03,9.60e+00,
4.562200e-03,9.60e+00,
4.562300e-03,9.60e+00,
4.562400e-03,9.60e+00,
4.562500e-03,9.60e+00,
4.562600e-03,9.60e+00,
4.562700e-03,9.60e+00,
4.562800e-03,9.60e+00,
4.562900e-03,9.60e+00,
4.563000e-03,9.60e+00,
4.563100e-03,9.60e+00,
4.563200e-03,9.60e+00,
4.563300e-03,9.60e+00,
4.563400e-03,9.60e+00,
4.563500e-03,9.60e+00,
4.563600e-03,9.60e+00,
4.563700e-03,9.60e+00,
4.563800e-03,9.60e+00,
4.563900e-03,9.60e+00,
4.564000e-03,9.60e+00,
4.564100e-03,9.60e+00,
4.564200e-03,9.60e+00,
4.564300e-03,9.60e+00,
4.564400e-03,9.60e+00,
4.564500e-03,9.60e+00,
4.564600e-03,9.60e+00,
4.564700e-03,9.60e+00,
4.564800e-03,9.60e+00,
4.564900e-03,9.60e+00,
4.565000e-03,9.60e+00,
4.565100e-03,9.60e+00,
4.565200e-03,9.60e+00,
4.565300e-03,9.60e+00,
4.565400e-03,9.60e+00,
4.565500e-03,9.60e+00,
4.565600e-03,9.60e+00,
4.565700e-03,9.60e+00,
4.565800e-03,9.60e+00,
4.565900e-03,9.60e+00,
4.566000e-03,9.60e+00,
4.566100e-03,9.60e+00,
4.566200e-03,9.60e+00,
4.566300e-03,9.60e+00,
4.566400e-03,9.60e+00,
4.566500e-03,9.60e+00,
4.566600e-03,9.60e+00,
4.566700e-03,9.60e+00,
4.566800e-03,9.60e+00,
4.566900e-03,9.60e+00,
4.567000e-03,9.60e+00,
4.567100e-03,9.60e+00,
4.567200e-03,9.60e+00,
4.567300e-03,9.60e+00,
4.567400e-03,9.60e+00,
4.567500e-03,9.60e+00,
4.567600e-03,9.60e+00,
4.567700e-03,9.60e+00,
4.567800e-03,9.60e+00,
4.567900e-03,9.60e+00,
4.568000e-03,9.60e+00,
4.568100e-03,9.60e+00,
4.568200e-03,9.60e+00,
4.568300e-03,9.60e+00,
4.568400e-03,9.60e+00,
4.568500e-03,9.60e+00,
4.568600e-03,9.60e+00,
4.568700e-03,9.60e+00,
4.568800e-03,9.60e+00,
4.568900e-03,9.60e+00,
4.569000e-03,9.60e+00,
4.569100e-03,9.60e+00,
4.569200e-03,9.60e+00,
4.569300e-03,9.60e+00,
4.569400e-03,9.60e+00,
4.569500e-03,9.60e+00,
4.569600e-03,9.60e+00,
4.569700e-03,9.60e+00,
4.569800e-03,9.60e+00,
4.569900e-03,9.60e+00,
4.570000e-03,9.60e+00,
4.570100e-03,9.60e+00,
4.570200e-03,9.60e+00,
4.570300e-03,9.60e+00,
4.570400e-03,9.60e+00,
4.570500e-03,9.60e+00,
4.570600e-03,9.60e+00,
4.570700e-03,9.60e+00,
4.570800e-03,9.60e+00,
4.570900e-03,9.60e+00,
4.571000e-03,9.60e+00,
4.571100e-03,9.60e+00,
4.571200e-03,9.60e+00,
4.571300e-03,9.60e+00,
4.571400e-03,9.60e+00,
4.571500e-03,9.60e+00,
4.571600e-03,9.60e+00,
4.571700e-03,9.60e+00,
4.571800e-03,9.60e+00,
4.571900e-03,9.60e+00,
4.572000e-03,9.60e+00,
4.572100e-03,9.60e+00,
4.572200e-03,9.60e+00,
4.572300e-03,9.60e+00,
4.572400e-03,9.60e+00,
4.572500e-03,9.60e+00,
4.572600e-03,9.60e+00,
4.572700e-03,9.60e+00,
4.572800e-03,9.60e+00,
4.572900e-03,9.60e+00,
4.573000e-03,9.60e+00,
4.573100e-03,9.60e+00,
4.573200e-03,9.60e+00,
4.573300e-03,9.60e+00,
4.573400e-03,9.60e+00,
4.573500e-03,9.60e+00,
4.573600e-03,9.60e+00,
4.573700e-03,9.60e+00,
4.573800e-03,9.60e+00,
4.573900e-03,9.60e+00,
